Date,Description,Debit,Credit,Amount,Category Type,Category
27/02/24,SPEI ENVIADO STP,3600.0,0.0,-3600.0,expenses,Transportation
27/02/24,PAGO CUENTA DE TERCERO,0.0,6435.02,6435.02,income,Other
27/02/24,PAGO TARJETA DE CREDITO,29586.69,0.0,-29586.69,expenses,Banking Services
28/02/24,SPEI ENVIADO BANORTE,56.0,0.0,-56.0,expenses,Other
28/02/24,SPEI DEVUELTOBANORTE,0.0,56.0,56.0,income,Other
28/02/24,PAYPAL*DISCORD,159.0,0.0,-159.0,expenses,Technology
29/02/24,RETIRO CAJERO AUTOMATICO,700.0,0.0,-700.0,expenses,Banking Services
29/02/24,PAYPAL*ITUNESAPPST AP,49.0,0.0,-49.0,expenses,Technology
29/02/24,PAYPAL *UBER BV,16.05,0.0,-16.05,expenses,Transportation
29/02/24,PAYPAL *UBER BV,82.42,0.0,-82.42,expenses,Transportation
01/03/24,PAYPAL *UBER BV,94.27,0.0,-94.27,expenses,Transportation
04/03/24,PAYPAL*ITUNESAPPST AP,99.0,0.0,-99.0,expenses,Technology
04/03/24,PAYPAL *UBER BV,95.39,0.0,-95.39,expenses,Transportation
05/03/24,SAT,78.0,0.0,-78.0,expenses,Taxes
06/03/24,PAGO BECAS,0.0,2310.0,2310.0,income,Education
07/03/24,PAGO CUENTA DE TERCERO,0.0,230.0,230.0,income,Other
07/03/24,PAGO CUENTA DE TERCERO,0.0,255.0,255.0,income,Other
07/03/24,IMMIGRATION CANADA ONLINE,2320.41,0.0,-2320.41,expenses,Other
09/03/24,DEPOSITO DE TERCERO API,0.0,20440.74,20440.74,income,Other
09/03/24,SPEI ENVIADO BANORTE,15000.0,0.0,-15000.0,expenses,Other
09/03/24,PAGO CUENTA DE TERCERO,195.0,0.0,-195.0,expenses,Other
11/03/24,SPEI ENVIADO BANORTE,65.0,0.0,-65.0,expenses,Other
11/03/24,PAGO CUENTA DE TERCERO,0.0,25.0,25.0,income,Other
13/03/24,PAGO CUENTA DE TERCERO,0.0,1268.04,1268.04,income,Other
14/03/24,PAGO CUENTA DE TERCERO,150.0,0.0,-150.0,expenses,Other
14/03/24,PAGO CUENTA DE TERCERO,0.0,80.0,80.0,income,Other
15/03/24,SPEI ENVIADO BANAMEX,3000.0,0.0,-3000.0,expenses,Debts and Loans
18/03/24,PAGO CUENTA DE TERCERO,0.0,33092.0,33092.0,income,Other
18/03/24,SPEI ENVIADO BANAMEX,1.0,0.0,-1.0,expenses,Debts and Loans
18/03/24,PAGO TARJETA DE CREDITO,22281.57,0.0,-22281.57,expenses,Banking Services
18/03/24,SPEI ENVIADO BANAMEX,8000.0,0.0,-8000.0,expenses,Debts and Loans
18/03/24,SPEI ENVIADO STP,3600.0,0.0,-3600.0,expenses,Transportation
19/03/24,SC*CALIENTEMX2,50.0,0.0,-50.0,expenses,Other
19/03/24,SC*CALIENTEMX2,50.0,0.0,-50.0,expenses,Other
19/03/24,SC*CALIENTEMX2,50.0,0.0,-50.0,expenses,Other
19/03/24,SC*CALIENTEMX2,50.0,0.0,-50.0,expenses,Other
19/03/24,PAGO CUENTA DE TERCERO,450.0,0.0,-450.0,expenses,Other
20/03/24,PAGO CUENTA DE TERCERO,232.0,0.0,-232.0,expenses,Other
20/03/24,PAGO CUENTA DE TERCERO,650.0,0.0,-650.0,expenses,Other
20/03/24,DEPOSITO DE TERCERO API,0.0,32440.96,32440.96,income,Other
20/03/24,SPEI ENVIADO BANORTE,16500.0,0.0,-16500.0,expenses,Other
20/03/24,SPEI ENVIADO SANTANDER,6500.0,0.0,-6500.0,expenses,Other
20/03/24,SPEI ENVIADO HSBC,7000.0,0.0,-7000.0,expenses,Other
22/03/24,SPEI RECIBIDOHSBC,0.0,500.0,500.0,income,Other
23/03/24,SPEI ENVIADO STP,200.0,0.0,-200.0,expenses,Transportation
